,image_name,see_throughness,glossiness,softness,glow,density,label
50,peeledpeach2,1,3,2,1,3,1
51,tarsoap2,1,2,2,1,4,1
52,DragonfruitJelly2,1,2,1,1,3,1
53,tuna11,2,1,3,1,3,1
54,steelcube,1,2,2,1,3,1
55,cantaloupe1,1,1,2,1,3,1
56,concrete2,1,1,1,1,3,1
57,tofu6,1,2,4,1,3,1
58,towel3,1,1,6,1,2,1
59,copperBB,1,2,1,1,2,1
60,pickle1,1,3,2,1,2,0
61,ice5,2,2,3,1,3,1
62,sweetpotato3,1,2,2,4,2,1
63,GlycerinSoap3,4,2,2,1,2,0
64,quartz77,2,2,1,1,2,0
65,DriedCantaloupe4,2,1,2,1,2,1
66,marblestatue2,1,1,2,1,3,1
67,honeydew2,1,2,2,1,2,1
68,tire1,1,1,2,1,3,1
69,tulumba1,1,2,3,1,4,1
70,meat10,1,1,4,1,3,1
71,cocoon2,1,1,3,1,4,1
72,mochi13,2,3,2,1,3,1
73,pineapple5,1,1,2,1,3,1
74,tuna10BB,1,1,2,1,3,1
75,honeycomb4,2,3,2,1,4,0
76,peeledpeach1,2,2,1,2,3,1
77,ceramic3,1,3,1,1,3,1
78,honeysoap1,3,2,2,1,2,1
79,snowbow2,1,1,3,1,3,1
80,kiwi7,1,2,3,1,2,1
81,onion1,1,2,2,1,3,1
82,yellowsoap1,1,2,3,2,2,1
83,olivesoap1,1,1,2,1,3,0
84,eraser3,1,1,4,1,3,1
85,dumpling3,3,2,2,2,2,1
86,wax2,2,1,2,1,3,0
87,peeledorange3,1,2,2,1,2,1
88,resin2,1,2,1,2,1,0
89,salmon5,2,2,3,1,2,1
90,selenite3,3,2,2,1,2,0
91,gummi30,3,2,2,1,2,0
92,marzipan3,1,2,4,1,3,1
93,glasschess1,4,3,2,1,2,1
94,orangewedge5,2,2,1,1,2,1
95,peeledpumkin4,1,2,2,1,2,1
96,dragonfruit7,1,2,2,1,3,1
97,beewax12,1,1,2,1,3,1
98,fluorite1,4,2,1,1,2,0
99,bronzehead,2,2,1,1,2,1
100,beewax8,1,2,1,1,2,1
101,egg6,1,1,3,1,2,1
102,jade11,2,2,1,1,2,0
103,cheesewaxBB,2,1,3,1,3,1
104,lucitefruit3,2,3,1,1,2,0
105,bluejelly,2,2,3,1,3,0
106,tulumba4,1,1,3,1,2,1
107,eggyolk8,1,2,2,1,2,1
108,caramelcandy1,1,3,1,1,2,1
109,lucitefruit1,4,2,1,1,2,0
110,frostedglass2,3,2,1,1,2,0
111,brownrock,1,1,1,1,3,1
112,dragonfruit4,1,2,2,1,3,1
113,toy1,2,2,2,1,3,1
114,toy2BB,2,2,2,1,3,1
115,marshmallow2,1,1,2,1,3,1
116,maripan1,1,1,3,1,3,1
117,tarsoap1,1,1,2,1,3,1
118,mochi11,1,1,2,1,3,1
119,wood14,1,1,1,1,3,1
120,frostedglass3,3,2,1,1,2,0
121,Scallops3,2,2,3,1,3,1
122,carrotslice1,1,2,1,1,3,1
123,JellyMooncake1,3,2,2,1,2,1
124,meat1BB,1,1,3,1,4,1
125,cheese7,1,2,1,1,2,1
126,ambersoap,2,3,1,1,2,1
127,honeycomb3,2,2,2,1,4,0
128,cheesekeycap,1,2,3,1,3,1
129,marble3,2,3,1,1,3,1
130,SlicedBanana2,1,1,1,1,2,1
131,waxcube3,2,1,2,1,2,0
132,mantou1,1,2,4,1,3,1
133,fudge4,1,2,3,1,3,1
134,raspberry3,1,2,2,1,3,1
135,butter1,1,1,3,1,3,1
136,tofu2,1,2,3,1,4,1
137,hamslice2,1,1,3,1,3,1
138,bearBB,3,2,3,1,2,0
139,cheesewax4,1,1,2,1,3,1
140,avacado6,1,1,2,1,3,1
141,ivory2,1,2,1,1,3,1
142,jello2,4,2,3,1,2,0
143,quartz64,1,4,1,2,2,0
144,turnipslice1,2,1,2,1,3,1
145,pot3,1,1,1,1,3,1
146,palmivory3,2,2,1,1,3,0
147,soap3BB,2,1,1,1,2,1
148,clay11,1,1,1,1,3,1
149,whitejade3,2,2,1,1,2,0
150,beewax7,2,3,1,1,3,1
151,jade12,2,3,2,2,3,1
152,mangojelly3,2,2,3,1,3,1
153,marble1,1,3,2,1,3,1
154,glasschess3,5,3,2,2,1,0
155,jade5BB,2,4,2,1,4,1
156,beewax9,2,2,3,1,3,1
157,cheese12,1,2,3,1,5,1
158,seashell6,1,1,2,1,6,1
159,bowl1,1,2,2,3,4,1
160,tofu7,2,2,3,1,3,1
161,cheesecake4,1,2,4,1,5,1
162,peeledpumkin2,1,1,5,1,5,1
163,beewax4,1,2,2,1,5,1
164,metal17,1,4,1,1,4,1
165,icecream1,1,1,3,1,4,1
166,fishmeat1,1,2,3,1,4,1
167,PinkWax2,1,2,3,1,3,1
168,honeycandy2,2,2,1,1,2,0
169,metal8,1,1,2,1,4,1
170,pearl4,1,3,1,2,3,1
171,fluorite2,4,2,1,1,3,0
172,sulfursoap1,2,1,2,1,3,1
173,tuna4BB,1,1,3,1,3,1
174,cheesewax5,2,2,1,1,2,1
175,woodcube1,1,1,1,1,6,1
176,salmon3,1,2,3,1,4,1
177,jade13,2,3,1,1,4,0
178,sulfursoap2,1,2,1,2,4,1
179,fluorite4,4,2,2,2,2,1
180,sponge1,1,1,4,1,3,1
181,urethane1,2,2,1,1,2,1
182,resincube1,4,3,2,2,2,0
183,cheese16,1,1,4,1,3,1
184,beeswax1,1,1,2,1,4,1
185,cheese8,1,1,3,1,3,1
186,orangewedge1,3,2,2,2,2,0
187,pomegranate2,2,2,2,1,3,1
188,fishmeat5,2,2,3,1,4,1
189,glasschess2,2,3,1,2,1,0
190,rmeat3BB,1,1,4,1,4,1
191,sugarcube5,2,1,2,1,3,1
192,waxcube1,2,1,1,1,3,1
193,beewax6,2,1,2,1,3,0
194,meat5BB,1,3,2,1,3,1
195,sugarcube2,1,1,3,1,3,1
196,dougao1,1,2,3,2,3,1
197,mochi8,1,2,2,1,3,1
198,GlycerinSoap2,4,3,2,3,2,0
199,limesoap1,1,2,1,2,4,1
200,meat3BB,1,3,3,2,4,1
201,copper3,1,1,2,1,4,0
202,glycerin6,2,2,1,2,4,0
203,egg5,1,3,2,1,4,1
204,beeswax3,2,1,2,1,4,1
205,wax4BB,2,3,2,1,4,1
206,tofu3,1,2,3,1,4,1
207,kiwi2,1,2,3,1,3,1
208,bread2,1,1,3,1,4,1
209,JellyMooncake5,3,2,1,2,4,0
210,seashell4,1,2,1,1,3,1
211,clay12,1,1,3,1,4,1
212,crystal3,3,1,2,2,2,0
213,watermelonchunk2,2,1,2,1,3,1
214,butter4,1,2,4,1,4,1
215,icecream5,1,1,3,1,4,1
216,dougao4,1,2,3,1,4,1
217,cheese14,1,1,3,1,4,1
218,brick12,1,1,2,1,4,1
219,honey1,3,2,2,1,3,0
220,quartz80,3,2,2,2,2,0
221,botryoidal1,3,2,3,2,2,0
222,rockcandy1,4,3,3,1,3,1
223,mochi1,3,2,3,2,3,0
224,wax3,3,2,2,3,4,1
225,cantaloupe3,2,2,2,1,3,1
226,spinach3,1,1,2,1,3,1
227,peeledlemon2,2,1,2,1,3,1
228,bowl6,1,2,1,1,3,1
229,strand1,1,1,2,1,3,1
230,metal13,1,3,2,1,3,1
231,mangojelly1,3,2,2,1,2,1
232,peeledlemon5,3,2,2,1,2,0
233,fluorite7,3,2,1,3,2,0
234,greenston2,3,2,2,2,2,0
235,cucumberslice2,1,1,2,1,3,1
236,PearlOnion3,2,1,1,1,2,1
237,onion4,1,1,2,1,3,1
238,pomegranate1,3,2,1,1,2,1
239,stickytoy1,2,2,1,1,2,1
240,fluorite6,3,2,1,1,2,0
241,cheese3,1,1,2,1,3,1
242,tofu5,1,2,3,1,4,1
243,cookie3,1,1,3,1,4,1
244,pineapple2,2,1,2,1,3,1
245,strawberry2,1,2,2,1,3,1
246,cookie2,1,1,2,1,4,1
247,grapefruit4,2,3,2,1,3,1
248,plastic1BB,3,2,2,2,2,1
249,fudge2,1,1,3,1,3,1
250,DriedCantaloupe3,3,2,2,1,3,1
251,soywax4,1,2,1,1,3,1
252,chocolate13,1,2,1,1,3,1
253,meat4BB,1,2,2,2,3,1
254,granite2,1,1,1,1,3,1
255,rockcandy2,4,3,2,2,1,0
256,cup14BB,1,1,1,1,3,1
257,jello5,1,2,2,1,3,0
258,greenstone1,3,2,1,2,2,0
259,soap8,3,2,1,2,2,1
260,fudge5,1,1,2,1,3,1
261,DragonfruitJelly1,3,2,1,2,3,1
262,choppedpotato2,2,2,2,1,3,1
263,pickleslice1,3,2,2,1,3,0
264,Angel3,3,2,1,2,4,0
265,palmivory1,2,3,1,2,3,1
266,rubber7,1,1,2,1,3,1
267,bluefluorite1,4,3,2,1,2,0
268,orange7,2,3,2,2,2,1
269,quartz54,2,2,1,2,2,0
270,pearl1,1,3,1,3,2,0
271,limeslice1,2,2,2,1,3,1
272,peeledorange1,1,1,2,2,3,1
273,cup4BB,1,2,1,1,3,1
274,glycerin5,2,2,1,1,2,1
275,frostedglass1,2,2,2,2,2,1
276,raspberry2,1,2,2,1,3,1
277,sponge2,1,1,2,1,3,1
278,caramelcandy3,1,2,2,1,3,1
279,strawberry1,1,1,2,1,2,1
280,chickennugget3,1,1,2,1,3,1
281,tofu11,1,2,2,1,3,1
282,Scallops2,1,2,4,1,4,1
283,plastic6BB,3,2,2,1,2,1
284,tooth3,3,2,2,1,2,0
285,butter2,1,1,2,1,3,1
286,waffle3,1,1,2,1,3,1
287,jello1,1,1,2,1,3,1
288,limeslice6,2,2,2,1,2,1
289,stone1,2,2,1,1,2,1
290,plastic7BB,3,2,2,2,2,0
291,chalk1,1,1,2,1,3,1
292,cheese11,1,1,2,1,3,1
293,steel3,1,2,1,1,3,1
294,Scallops4,2,2,3,1,3,1
295,persimmon2,1,2,2,1,3,1
296,chalk3,1,1,1,1,3,1
297,botryoidal2,3,2,2,2,2,1
298,colorsoap1,3,2,1,1,2,0
299,gummi29,2,2,2,2,2,0
